,Name,Price
0,独学プログラマー Python言語の基本から仕事のやり方まで,"￥2,376"
1,入門 Python 3,"￥3,996"
2,退屈なことはPythonにやらせよう ―ノンプログラマーにもできる自動化処理プログラミング,"￥3,996"
3,いちばんやさしい Python入門教室,"￥2,462"
4,ゲームを作りながら楽しく学べるPythonプログラミング (Future Coders（NextPublishing）),￥810
5,できる 仕事がはかどるPython自動処理 全部入り。 (「できる全部入り。」シリーズ),"￥2,484"
6,エキスパートPythonプログラミング 改訂2版 (アスキードワンゴ),"￥3,499"
7,スラスラ読める Pythonふりがなプログラミング,"￥1,614"
8,ビジネスPython超入門,"￥2,592"
9,ゼロから作るDeep Learning ―Pythonで学ぶディープラーニングの理論と実装,"￥3,672"
10,東京大学のデータサイエンティスト育成講座 ~Pythonで手を動かして学ぶデ―タ分析~,"￥3,218"
11,TECHNICAL MASTER はじめてのPython エンジニア入門編 Python3対応,"￥2,808"
12,文系プログラマーのためのPythonで学び直す高校数学,"￥2,700"
13,Pythonスタートブック [増補改訂版],"￥2,700"
14,みんなのPython 第4版,"￥2,916"
15,詳細! Python 3 入門ノート,"￥2,894"
16,新・明解Python入門 (新・明解シリーズ),"￥2,808"
17,Pythonによるデータ分析入門 第2版 ―NumPy、pandasを使ったデータ処理,"￥4,104"
18,Pythonによる制御工学入門,"￥2,808"
19,入門者のＰｙｔｈｏｎ　プログラムを作りながら基本を学ぶ (ブルーバックス),"￥1,404"
20,Python計算機科学新教本 ―新定番問題を解決する探索アルゴリズム、k平均法、ニューラルネットワーク,"￥3,240"
21,現場ですぐに使える！ Pythonプログラミング逆引き大全 313の極意,"￥2,527"
22,Pythonプロフェッショナルプログラミング第3版,"￥2,722"
23,Pythonと実データで遊んで学ぶ データ分析講座,"￥3,056"
24,12歳からはじめる ゼロからの Pythonゲームプログラミング教室,"￥2,376"
25,Pythonではじめる機械学習 ―scikit-learnで学ぶ特徴量エンジニアリングと機械学習の基礎,"￥3,672"
26,ボア Ｖｓ．パイソン (字幕版),￥300
27,Pythonで動かして学ぶ！あたらしい深層学習の教科書 機械学習の基本から深層学習まで,"￥3,110"
28,いちばんやさしいPythonの教本 人気講師が教える基礎からサーバサイド開発まで 「いちばんやさしい教本」シリーズ,"￥1,924"
29,Machine Learning With Python,"￥1,012"
30,はじめてのディープラーニング　Pythonで学ぶニューラルネットワークとバックプロパゲーション,"￥2,605"
31,世界標準MIT教科書 Python言語によるプログラミングイントロダクション　第2版：データサイエンスとアプリケーション,"￥4,600"
32,Mastering Large Datasets: Parallelize and Distribute Your Python Code,"￥6,026"
33,Applied Unsupervised Learning with Python: Discover hidden patterns and relationships in unstructured data with Python,"￥5,324"
34,RとPythonで学ぶ[実践的]データサイエンス&機械学習,"￥3,218"
35,"LEARN PYTHON PROGRAMMING: Write code from scratch in a clear & concise way, with a complete basic course. From beginners to intermediate, an hands-on project with examples (English Edition)",￥0
36,Pythonでの自動化・仕事効率化入門 - Excel編 - Pythonを使って仕事を楽にしよう,￥0
37,A Python Guide For Beginners: Learn it in a short time,"￥1,663"
38,わかるPython[決定版] (Informatics&IDEA),"￥2,570"
39,すぐに使える! 業務で実践できる! Pythonによる AI・機械学習・深層学習アプリのつくり方,"￥3,456"
40,Python: A Step-by-Step Guide For Absolute Beginners (English Edition),￥0
41,PythonでWebサービスを作る - Python3 + Flaskで作るWebアプリケーション開発入門 - その２,￥0
42,Python 1年生 体験してわかる！会話でまなべる！プログラミングのしくみ,"￥1,924"
43,Natural Language Processing With Python,"￥1,124"
44,Pythonによるあたらしいデータ分析の教科書,"￥2,410"
45,Machine Learning with Python: Hands-On Learning for Beginners,"￥2,360"
46,Pythonデータサイエンスハンドブック ―Jupyter、NumPy、pandas、Matplotlib、scikit-learnを使ったデータ分析、機械学習,"￥4,536"
47,現場で使える! Python機械学習入門 機械学習アルゴリズムの理論と実践 (AI & TECHNOLOGY),"￥3,456"
48,Machine Learning with Python: Hands-On Learning for Beginners,"￥2,360"
49,Pythonデータサイエンスハンドブック ―Jupyter、NumPy、pandas、Matplotlib、scikit-learnを使ったデータ分析、機械学習,"￥4,536"
50,現場で使える! Python機械学習入門 機械学習アルゴリズムの理論と実践 (AI & TECHNOLOGY),"￥3,456"
51,Pythonチュートリアル 第3版,"￥1,944"
52,確かな力が身につくPython「超」入門 (確かな力が身につく「超」入門シリーズ),"￥2,410"
53,[第2版]Python 機械学習プログラミング 達人データサイエンティストによる理論と実践 (impress top gear),"￥4,320"
54,実践力を身につける Pythonの教科書,"￥2,786"
55,Pythonクローリング&スクレイピング -データ収集・解析のための実践開発ガイド-,"￥3,456"
56,Pythonでの自動化・仕事効率化入門 - スクレイピング編 - Pythonを使って仕事を楽にしよう。,￥0
57,Pythonによるプログラミング,"￥2,916"
58,PythonによるTCP/IPソケットプログラミング,"￥2,376"
59,PythonによるWebスクレイピング 第2版,"￥3,456"
60,問題解決のPythonプログラミング ―数学パズルで鍛えるアルゴリズム的思考,"￥3,024"
61,株とPython─自作プログラムでお金儲けを目指す本 (技術の泉シリーズ（NextPublishing）),"￥2,160"
62,PythonとKerasによるディープラーニング,"￥4,190"
63,つくりながら学ぶ！　Pythonセキュリティプログラミング,"￥2,880"
64,IPythonデータサイエンスクックブック 第2版 ―対話型コンピューティングと可視化のためのレシピ集,"￥4,536"
65,Pythonで始めるOpenCV 4プログラミング,"￥3,564"
66,簡単！python超入門,￥0
67,【AWESOME/オーサム】 加熱式タバコケース タバコ入れ付き アイコスケース パイソンシリーズ ホワイトピンク IQT-PS005,"￥2,779"
